White,Red,Green,Blue,Total,color_label
90,105,116,61,-12,yellow
184,148,142,71,191,yellow
206,160,150,74,234,yellow
214,169,154,77,242,yellow
219,173,157,78,249,yellow
220,176,159,78,247,yellow
220,177,160,79,244,yellow
223,176,160,78,255,yellow
224,179,160,79,254,yellow
225,180,161,79,255,yellow
224,178,161,78,255,yellow
225,181,161,79,254,yellow
226,182,162,79,255,yellow
225,178,161,78,258,yellow
226,182,161,79,256,yellow
225,181,162,79,253,yellow
226,179,161,79,259,yellow
227,182,161,79,259,yellow
225,180,162,79,254,yellow
227,181,162,79,259,yellow
227,183,162,79,257,yellow
226,180,162,80,256,yellow
227,183,163,79,256,yellow
226,179,162,79,258,yellow
227,183,162,79,257,yellow
226,179,161,79,259,yellow
227,183,162,79,257,yellow
226,180,161,79,258,yellow
227,183,162,79,257,yellow
226,180,161,78,259,yellow
227,182,161,79,259,yellow
225,181,162,79,253,yellow
227,181,161,79,260,yellow
225,182,162,79,252,yellow
227,181,161,79,260,yellow
225,182,162,79,252,yellow
227,181,161,79,260,yellow
226,182,162,79,255,yellow
226,179,161,79,259,yellow
227,183,162,79,257,yellow
225,179,161,79,256,yellow
227,182,161,79,259,yellow
225,179,161,79,256,yellow
227,182,161,79,259,yellow
225,180,161,79,255,yellow
226,182,161,79,256,yellow
225,180,161,78,256,yellow
227,182,160,79,260,yellow
225,180,161,78,256,yellow
226,182,161,79,256,yellow
225,179,161,78,257,yellow
226,182,161,79,256,yellow
225,180,161,78,256,yellow
226,182,160,79,257,yellow
225,180,161,78,256,yellow
227,182,161,79,259,yellow
225,179,160,79,257,yellow
227,182,160,79,260,yellow
225,179,160,78,258,yellow
226,182,161,79,256,yellow
225,180,161,78,256,yellow
226,182,160,78,258,yellow
224,181,161,77,253,yellow
226,182,160,78,258,yellow
225,180,160,78,257,yellow
226,182,160,78,258,yellow
225,179,160,78,258,yellow
226,182,161,79,256,yellow
226,179,160,79,260,yellow
226,182,161,78,257,yellow
226,182,161,79,256,yellow
225,179,160,78,258,yellow
226,182,161,78,257,yellow
226,179,161,79,259,yellow
226,182,162,78,256,yellow
226,179,160,79,260,yellow
226,182,161,78,257,yellow
226,181,160,79,258,yellow
225,179,161,78,257,yellow
226,182,160,79,257,yellow
225,179,160,79,257,yellow
226,182,161,78,257,yellow
226,180,160,79,259,yellow
225,181,161,78,255,yellow
226,182,160,78,258,yellow
225,179,160,78,258,yellow
226,182,161,79,256,yellow
226,179,160,79,260,yellow
226,182,161,78,257,yellow
225,179,160,78,258,yellow
226,182,161,78,257,yellow
226,180,160,79,259,yellow
226,182,161,78,257,yellow
226,182,161,78,257,yellow
225,179,159,78,259,yellow
225,181,161,78,255,yellow
226,181,160,78,259,yellow
224,180,160,78,254,yellow
226,182,161,79,256,yellow
226,179,160,79,260,yellow
226,182,161,78,257,yellow
226,181,160,78,259,yellow
224,179,160,78,255,yellow
226,182,160,78,258,yellow
224,179,160,79,254,yellow
226,182,160,78,258,yellow
225,178,160,79,258,yellow
226,182,161,78,257,yellow
226,180,160,78,260,yellow
224,181,161,78,252,yellow
225,181,160,78,256,yellow
225,178,160,78,259,yellow
226,181,161,78,258,yellow
226,180,160,78,260,yellow
224,181,160,77,254,yellow
225,181,160,78,256,yellow
224,178,159,79,256,yellow
226,181,161,78,258,yellow
225,181,159,78,257,yellow
224,179,160,78,255,yellow
226,181,161,78,258,yellow
226,180,159,78,261,yellow
224,179,160,78,255,yellow
226,182,161,78,257,yellow
226,180,159,78,261,yellow
224,180,160,77,255,yellow
225,181,160,78,256,yellow
225,178,160,78,259,yellow
226,181,161,78,258,yellow
226,180,159,78,261,yellow
224,180,160,78,254,yellow
226,182,160,78,258,yellow
224,178,160,78,256,yellow
225,181,161,78,255,yellow
225,181,159,78,257,yellow
224,179,160,78,255,yellow
226,181,160,78,259,yellow
225,178,160,78,259,yellow
226,181,161,78,258,yellow
225,180,159,78,258,yellow
224,179,160,78,255,yellow
226,181,160,78,259,yellow
224,178,159,78,257,yellow
226,181,160,78,259,yellow
225,180,159,78,258,yellow
224,179,160,77,256,yellow
225,181,160,78,256,yellow
225,178,159,78,260,yellow
226,181,161,78,258,yellow
225,181,159,78,257,yellow
224,179,160,78,255,yellow
226,181,160,78,259,yellow
225,178,160,78,259,yellow
226,181,160,78,259,yellow
225,180,159,78,258,yellow
225,180,160,78,257,yellow
226,181,160,78,259,yellow
226,179,159,78,262,yellow
224,179,160,77,256,yellow
225,180,159,78,258,yellow
224,178,159,78,257,yellow
226,181,160,78,259,yellow
225,179,159,78,259,yellow
224,181,160,77,254,yellow
225,181,159,78,257,yellow
224,178,159,78,257,yellow
225,181,160,78,256,yellow
225,181,159,77,258,yellow
224,178,159,77,258,yellow
225,181,159,78,257,yellow
224,178,159,78,257,yellow
226,181,161,78,258,yellow
225,181,159,78,257,yellow
224,178,159,78,257,yellow
225,181,160,78,256,yellow
226,179,159,78,262,yellow
224,180,159,77,256,yellow
226,181,159,78,260,yellow
224,177,159,78,258,yellow
226,181,160,78,259,yellow
225,180,159,78,258,yellow
223,179,159,78,253,yellow
225,181,160,78,256,yellow
225,178,159,78,260,yellow
225,181,160,77,257,yellow
225,180,159,77,259,yellow
224,178,159,77,258,yellow
225,181,160,78,256,yellow
225,179,159,78,259,yellow
225,181,160,77,257,yellow
225,180,159,78,258,yellow
224,178,159,77,258,yellow
225,181,160,78,256,yellow
225,178,159,78,260,yellow
223,180,159,78,252,yellow
225,181,160,78,256,yellow
225,179,158,78,260,yellow
223,178,159,77,255,yellow
225,181,160,78,256,yellow
224,178,159,78,257,yellow
225,180,160,77,258,yellow
225,180,159,78,258,yellow
224,178,159,78,257,yellow
223,180,160,77,252,yellow
225,181,159,78,257,yellow
223,178,159,78,254,yellow
225,181,159,78,257,yellow
224,178,159,78,257,yellow
225,181,159,78,257,yellow
224,177,159,78,258,yellow
225,181,160,78,256,yellow
225,179,159,78,259,yellow
224,180,159,77,256,yellow
225,181,159,78,257,yellow
225,178,158,78,261,yellow
224,180,159,77,256,yellow
224,180,159,77,256,yellow
224,177,159,78,258,yellow
225,180,160,78,257,yellow
225,179,158,78,260,yellow
223,180,159,77,253,yellow
225,180,159,77,259,yellow
224,177,159,78,258,yellow
225,180,160,77,258,yellow
224,180,159,78,255,yellow
223,178,159,77,255,yellow
225,181,160,77,257,yellow
224,177,158,78,259,yellow
225,181,160,78,256,yellow
225,180,159,77,259,yellow
223,178,159,77,255,yellow
225,180,160,77,258,yellow
225,178,158,78,261,yellow
223,179,159,77,254,yellow
224,180,158,78,256,yellow
224,177,159,78,258,yellow
225,180,160,78,257,yellow
224,179,158,78,257,yellow
223,179,159,77,254,yellow
225,180,160,78,257,yellow
224,178,159,77,258,yellow
223,179,159,77,254,yellow
224,180,159,77,256,yellow
224,178,158,78,258,yellow
224,180,160,77,255,yellow
224,180,158,77,257,yellow
223,178,159,77,255,yellow
225,181,160,78,256,yellow
224,180,158,77,257,yellow
223,178,159,78,254,yellow
225,181,160,78,256,yellow
224,179,158,78,257,yellow
223,179,159,77,254,yellow
225,180,160,78,257,yellow
224,180,158,77,257,yellow
223,177,158,78,256,yellow
225,181,160,77,257,yellow
224,180,158,77,257,yellow
223,177,159,78,255,yellow
224,180,160,77,255,yellow
225,180,159,78,258,yellow
224,178,158,78,258,yellow
223,179,159,77,254,yellow
225,180,159,78,258,yellow
224,178,158,78,258,yellow
224,180,159,77,256,yellow
224,180,158,77,257,yellow
224,177,159,78,258,yellow
225,180,159,78,258,yellow
224,177,158,78,259,yellow
225,180,160,78,257,yellow
224,177,158,78,259,yellow
224,180,159,76,257,yellow
224,180,158,77,257,yellow
224,177,158,77,260,yellow
225,180,160,77,258,yellow
224,180,158,77,257,yellow
223,177,158,78,256,yellow
225,180,160,77,258,yellow
224,180,158,77,257,yellow
223,179,158,77,255,yellow
224,178,158,78,258,yellow
225,180,158,77,260,yellow
223,177,158,78,256,yellow
225,180,158,77,260,yellow
224,177,158,78,259,yellow
224,180,160,78,254,yellow
224,180,158,77,257,yellow
223,178,159,77,255,yellow
225,180,160,77,258,yellow
224,178,158,77,259,yellow
223,179,159,77,254,yellow
225,180,158,77,260,yellow
223,177,158,78,256,yellow
223,179,159,76,255,yellow
224,180,159,77,256,yellow
223,177,158,78,256,yellow
225,180,160,77,258,yellow
224,179,158,78,257,yellow
223,178,159,77,255,yellow
225,180,158,77,260,yellow
224,177,158,77,260,yellow
225,180,158,78,259,yellow
224,177,158,77,260,yellow
225,180,159,77,259,yellow
223,177,158,77,257,yellow
225,180,159,77,259,yellow
224,177,158,76,261,yellow
224,180,158,77,257,yellow
223,177,158,77,257,yellow
225,180,160,77,258,yellow
224,180,158,77,257,yellow
223,178,158,77,256,yellow
225,180,159,77,259,yellow
224,179,158,78,257,yellow
223,180,159,77,253,yellow
223,176,158,77,258,yellow
224,180,158,77,257,yellow
222,177,158,77,254,yellow
224,180,158,77,257,yellow
222,178,159,77,252,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,177,158,77,257,yellow
224,180,159,77,256,yellow
224,177,158,78,259,yellow
223,179,159,77,254,yellow
224,180,158,77,257,yellow
224,178,158,78,258,yellow
222,179,159,76,252,yellow
224,180,158,77,257,yellow
224,177,158,78,259,yellow
224,180,159,77,256,yellow
224,180,158,77,257,yellow
222,177,158,78,253,yellow
224,180,160,77,255,yellow
224,179,158,77,258,yellow
223,178,158,77,256,yellow
224,180,159,77,256,yellow
224,177,158,78,259,yellow
223,179,159,76,255,yellow
224,180,158,77,257,yellow
224,177,158,78,259,yellow
224,180,159,77,256,yellow
224,180,158,77,257,yellow
223,177,158,78,256,yellow
225,180,160,77,258,yellow
224,179,158,77,258,yellow
222,177,158,77,254,yellow
224,180,159,77,256,yellow
224,178,158,78,258,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,176,158,78,257,yellow
225,180,159,77,259,yellow
224,180,158,77,257,yellow
222,177,158,77,254,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
222,178,158,76,254,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,177,158,78,256,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,178,158,77,256,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,178,158,77,256,yellow
224,180,159,77,256,yellow
224,177,158,77,260,yellow
224,180,159,77,256,yellow
224,178,158,78,258,yellow
223,179,159,77,254,yellow
224,179,158,77,258,yellow
223,176,158,77,258,yellow
224,180,158,77,257,yellow
223,177,158,77,257,yellow
223,178,158,76,257,yellow
223,179,158,77,255,yellow
223,178,158,77,256,yellow
224,180,158,77,257,yellow
223,176,158,76,259,yellow
224,180,159,77,256,yellow
224,179,158,76,259,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
223,180,159,77,253,yellow
224,177,158,78,259,yellow
224,180,159,76,257,yellow
223,180,158,77,254,yellow
223,176,158,77,258,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,177,158,77,257,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
223,179,159,76,255,yellow
223,179,158,77,255,yellow
222,178,158,76,254,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
223,177,158,78,256,yellow
223,179,158,76,256,yellow
224,180,158,77,257,yellow
223,176,158,78,257,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
223,176,158,77,258,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
222,178,158,77,253,yellow
224,180,159,77,256,yellow
224,179,158,77,258,yellow
222,177,158,76,255,yellow
224,180,158,77,257,yellow
224,177,158,78,259,yellow
224,179,159,76,258,yellow
224,180,158,77,257,yellow
223,176,158,77,258,yellow
223,178,159,76,256,yellow
223,180,158,77,254,yellow
223,176,158,77,258,yellow
224,180,159,77,256,yellow
223,180,158,77,254,yellow
223,177,158,77,257,yellow
223,178,158,76,257,yellow
224,180,159,77,256,yellow
223,179,157,77,256,yellow
223,176,158,77,258,yellow
224,180,159,77,256,yellow
224,179,157,77,259,yellow
223,177,158,77,257,yellow
224,180,159,77,256,yellow
224,178,158,77,259,yellow
222,178,158,77,253,yellow
224,180,158,77,257,yellow
224,177,157,77,261,yellow
222,178,158,76,254,yellow
224,180,159,77,256,yellow
224,177,158,78,259,yellow
223,179,158,76,256,yellow
224,180,158,77,257,yellow
223,177,157,77,258,yellow
223,179,159,76,255,yellow
224,180,158,77,257,yellow
223,176,158,78,257,yellow
224,179,159,76,258,yellow
224,180,158,77,257,yellow
223,176,158,77,258,yellow
224,180,159,76,257,yellow
224,180,158,77,257,yellow
223,177,158,77,257,yellow
224,180,158,77,257,yellow
223,177,158,76,258,yellow
224,180,159,77,256,yellow
223,177,157,77,258,yellow
222,177,158,76,255,yellow
224,180,159,77,256,yellow
224,179,157,77,259,yellow
222,177,158,77,254,yellow
224,180,158,77,257,yellow
222,176,158,77,255,yellow
224,180,158,77,257,yellow
223,176,158,77,258,yellow
224,180,158,77,257,yellow
224,177,158,77,260,yellow
224,180,159,77,256,yellow
224,177,157,77,261,yellow
222,178,158,76,254,yellow
224,180,159,77,256,yellow
224,177,157,78,260,yellow
223,179,158,76,256,yellow
224,180,158,77,257,yellow
223,176,158,78,257,yellow
224,179,159,76,258,yellow
223,179,157,77,256,yellow
223,178,158,77,256,yellow
224,179,158,77,258,yellow
223,176,158,77,258,yellow
224,180,158,77,257,yellow
223,177,158,77,257,yellow
224,179,159,77,257,yellow
224,179,158,77,258,yellow
222,178,158,76,254,yellow
223,179,158,77,255,yellow
222,177,158,77,254,yellow
224,180,158,77,257,yellow
223,176,158,76,259,yellow
224,180,159,77,256,yellow
224,179,157,77,259,yellow
223,179,159,77,254,yellow
223,177,158,78,256,yellow
224,179,159,76,258,yellow
224,179,157,77,259,yellow
223,176,158,77,258,yellow
224,180,158,77,257,yellow
223,176,158,77,258,yellow
224,179,159,77,257,yellow
224,178,158,77,259,yellow
222,179,158,76,253,yellow
224,180,158,77,257,yellow
224,177,157,77,261,yellow
222,178,158,76,254,yellow
224,179,158,77,258,yellow
223,177,157,77,258,yellow
222,178,158,77,253,yellow
224,179,159,76,258,yellow
224,179,158,77,258,yellow
222,177,158,77,254,yellow
224,179,158,77,258,yellow
224,178,158,77,259,yellow
222,179,158,76,253,yellow
224,180,158,77,257,yellow
223,176,158,77,258,yellow
224,180,158,77,257,yellow
223,176,158,77,258,yellow
224,180,159,76,257,yellow
223,179,158,77,255,yellow
222,179,159,76,252,yellow
224,178,158,77,259,yellow
224,179,159,77,257,yellow
223,179,157,77,256,yellow
223,176,158,78,257,yellow
224,179,159,77,257,yellow
223,179,158,77,255,yellow
223,176,157,77,259,yellow
222,178,158,77,253,yellow
224,179,157,77,259,yellow
222,176,157,76,257,yellow
224,179,158,77,258,yellow
223,176,158,76,259,yellow
224,180,157,77,258,yellow
222,179,159,77,251,yellow
224,179,157,77,259,yellow
223,178,158,76,257,yellow
224,180,158,77,257,yellow
224,178,157,77,260,yellow
223,179,159,77,254,yellow
223,179,157,77,256,yellow
222,177,158,76,255,yellow
224,180,159,77,256,yellow
224,178,157,77,260,yellow
222,177,158,76,255,yellow
224,179,159,77,257,yellow
224,179,158,77,258,yellow
222,178,158,76,254,yellow
224,179,159,77,257,yellow
224,178,157,77,260,yellow
223,176,158,76,259,yellow
224,179,158,77,258,yellow
223,176,158,78,257,yellow
224,180,159,77,256,yellow
223,178,158,77,256,yellow
223,179,158,77,255,yellow
224,179,157,77,259,yellow
223,176,158,76,259,yellow
223,179,157,77,256,yellow
223,177,158,76,258,yellow
224,180,158,77,257,yellow
223,177,158,77,257,yellow
224,179,158,77,258,yellow
223,176,158,76,259,yellow
224,179,158,77,258,yellow
224,178,157,77,260,yellow
223,179,158,76,256,yellow
224,179,158,77,258,yellow
222,176,157,77,256,yellow
223,179,159,76,255,yellow
223,179,158,77,255,yellow
223,176,158,77,258,yellow
224,179,159,76,258,yellow
223,179,157,77,256,yellow
222,176,158,77,255,yellow
224,180,159,77,256,yellow
224,179,157,77,259,yellow
222,178,158,77,253,yellow
224,180,159,77,256,yellow
224,177,157,77,261,yellow
222,178,158,76,254,yellow
224,179,158,77,258,yellow
223,176,158,77,258,yellow
224,179,159,76,258,yellow
223,179,158,77,255,yellow
223,176,157,78,258,yellow
224,179,159,76,258,yellow
224,179,158,77,258,yellow
222,176,157,78,255,yellow
224,179,159,77,257,yellow
224,179,158,77,258,yellow
222,177,158,76,255,yellow
224,179,158,77,258,yellow
223,177,157,77,258,yellow
222,179,159,76,252,yellow
224,179,158,77,258,yellow
223,176,157,77,259,yellow
222,176,157,77,256,yellow
224,179,158,77,258,yellow
224,177,158,77,260,yellow
222,177,158,76,255,yellow
223,179,158,77,255,yellow
223,176,158,77,258,yellow
224,180,159,76,257,yellow
223,179,157,77,256,yellow
223,177,158,76,258,yellow
223,179,157,77,256,yellow
222,176,157,77,256,yellow
224,179,159,76,258,yellow
223,179,157,77,256,yellow
222,177,158,76,255,yellow
223,179,157,77,256,yellow
222,176,157,77,256,yellow
222,177,158,76,255,yellow
223,179,158,77,255,yellow
222,178,158,76,254,yellow
224,179,158,77,258,yellow
222,176,158,77,255,yellow
224,179,159,77,257,yellow
224,178,157,77,260,yellow
222,176,157,76,257,yellow
224,179,159,77,257,yellow
223,178,157,77,257,yellow
222,178,158,77,253,yellow
224,179,158,77,258,yellow
224,177,158,77,260,yellow
223,179,158,77,255,yellow
223,177,158,77,257,yellow
224,179,158,77,258,yellow
223,179,157,77,256,yellow
222,178,159,76,253,yellow
223,179,157,77,256,yellow
222,179,158,77,252,yellow
223,179,157,77,256,yellow
223,179,158,76,256,yellow
